X,Y,OBJECTID,WINE_RT_NA,INFR_1,icon_url
18.7423690045684,-34.0213800075221,"1",BP1,,./0.png
18.7473499614188,-34.0169179648394,"2",BP2,,./0.png
18.7636870082191,-33.9946780217627,"3",BP3,,./0.png
18.7651359975061,-33.9916359710015,"4",BP4,,./0.png
18.7697419469474,-33.9838000111072,"5",BP5,,./0.png
18.7702579773973,-33.9833070267582,"6",BP6,,./0.png
18.7706319568667,-33.9829570289245,"7",BP7,,./0.png
18.7795670032075,-33.9753280092993,"8",BP8,,./0.png
18.7939020426004,-33.9661519824665,"9",BP9,,./0.png
18.7956880136818,-33.9653719777945,"10",BP10,,./0.png
18.7982500382241,-33.9616660288251,"11",BP11,,./0.png
18.7994149717586,-33.961293976215,"12",BP12,,./0.png
18.7997159831275,-33.959670982076,"13",BP13,,./0.png
18.7993859871649,-33.9587079657558,"14",BP14,,./0.png
18.7949959955501,-33.9534099813404,"15",BP15,,./0.png
18.769024029704,-33.9564139730257,"16",BP16,,./0.png
18.7682419669504,-33.9568840058097,"17",BP17,,./0.png
18.7669599902959,-33.9575399762447,"18",BP18,,./0.png
18.7632459994599,-33.9588210014869,"19",BP19,,./0.png
18.7612559773057,-33.9594679753185,"20",BP20,,./0.png
18.7504940289404,-33.9638619825137,"21",BP21,,./0.png
18.7461270153045,-33.9634900050198,"22",BP22,,./0.png
18.7362209945826,-33.9630010079438,"23",BP23,,./0.png
18.7341949747652,-33.9630889664044,"24",BP24,,./0.png
18.7341080474174,-33.9630690350662,"25",BP25,,./0.png
18.7152660424095,-33.9522709664175,"26",BP26,,./0.png
18.7143670501096,-33.9520120367439,"27",BP27,,./0.png
18.7132910351942,-33.9517660310847,"28",BP28,,./0.png
18.7131859509178,-33.9516490375663,"29",BP29,,./0.png
18.7118670408492,-33.9513819884346,"30",BP30,,./0.png
18.6992879903282,-33.9498760027414,"31",BP31,,./0.png
18.711837996062,-33.9512370439635,"32",BP32,,./0.png
