X,Y,OBJECTID,TYPE,INFM,INFR_2,INFR_3,icon_url
18.4242264777284,-33.9160010640713,"70",City Map,Cape Town: Find Your Way,,,./0.png
18.4242088244941,-33.9160949954547,"71",Interpretation,Apartheid,,,./0.png
18.4242487124873,-33.916175004785,"72",Interpretation,North Wharf & Jetties,,,./0.png
18.4241870594051,-33.9161676206906,"73",Interpretation,Exploring Cape Town's History,,,./0.png
18.4240275626234,-33.9161562323236,"74",Interpretation,Roggebaai Fish Market,,,./0.png
18.4239548299821,-33.916214428373,"75",Interpretation,Emancipation from Slavery,,,./0.png
18.4241186017518,-33.9168555500096,"76",Pedestrian,Waterfront,CTICC,Cape Town,./0.png
18.4242487954862,-33.9171115917897,"77",Pedestrian,Waterfront,Cape Town,,./0.png
18.423136341265,-33.9210938940931,"78",Pedestrian,CTICC,St. George's Mall,Cape Town Stadium,./0.png
18.4231050517596,-33.9210733695144,"79",Artwork,Artwork,,,./0.png
18.4226031106582,-33.9214581899012,"80",Pedestrian,St. George's Mall,Strand Street,,./0.png
18.4222641474933,-33.9214944445301,"81",Pedestrian,Company Gardens,Greenmarket Square,Railway Station,./0.png
18.4218750293952,-33.9212015113636,"82",Pedestrian,Greenmarket Square,Railway Station,V&A Waterfront,./0.png
18.4255349957706,-33.9202278155428,"83",Pedestrian,Railway Station,St. George's Mall,Tourist Info,./0.png
18.4269962746466,-33.9191701309594,"84",Pedestrian,V&A Waterfront,CTICC,Cape Town,./0.png
18.4264117494906,-33.919737119387,"85",Pedestrian,Artscape & Civic Centre,Civic Station,CTICC,./0.png
18.4232450020767,-33.9177969068915,"86",Pedestrian,Cape Town,V&A Waterfront,CTICC,./0.png
18.4238855903781,-33.9183863946255,"87",Pedestrian,CTICC,V&A Waterfront,Railway Station,./0.png
18.4246169595903,-33.9188964667691,"88",Pedestrian,CTICC,V&A Waterfront,Railway Station,./0.png
18.4244842586299,-33.9191860207919,"89",Pedestrian,Hans Strijdom Ave,Thibault Square,,./0.png
18.4242294387774,-33.9190128753731,"90",Pedestrian,Thibault Square,,,./0.png
18.4250927170467,-33.919626427266,"91",Pedestrian,CTICC,Artscape & Civic Centre,V&A Waterfront,./0.png
18.4253503337303,-33.9193835143714,"92",Pedestrian,CTICC,Artscape & Civic Centre,V&A Waterfront,./0.png
18.425591138086,-33.919175835399,"93",Pedestrian,V&A Waterfront,CTICC,St. George's Mall,./0.png
18.4241078504329,-33.9195665542039,"94",Pedestrian,Railway Station,Artscape & Civic Centre,V&A Waterfront,./0.png
18.4241147442704,-33.9199104967784,"95",Pedestrian,V&A Waterfront,Cape Town,,./0.png
18.4238737607712,-33.9204175579498,"96",Pedestrian,Riebeek Street,Cape Town,V&A Waterfront,./0.png
18.423724581229,-33.9204183953173,"97",Pedestrian,Greenmarket Square,Cape Town,Tourist Info,./0.png
18.4236843046063,-33.9203828949161,"98",Pedestrian,St. George's Mall,Riebeek Street,,./0.png
18.4230492886163,-33.9208773628089,"99",Pedestrian,Waterkant,,,./0.png
18.4239100804035,-33.9217067957252,"100",City Map,Cape Town: Find Your Way,,,./0.png
18.4242303117216,-33.9214597238215,"101",Interpretation,Between Table Mountain and the sea,,,./0.png
18.4278687241533,-33.9206388484544,"102",Artwork,Artwork,,,./0.png
18.4214582548837,-33.9215547352654,"103",Pedestrian,St. George's Mall,Campany Gardens,Castle,./0.png
18.4220724761577,-33.9220643098445,"104",Pedestrian,Gold of Africa,Koopmans De Wet,Railway Station,./0.png
18.421450721361,-33.9223772497855,"105",Pedestrian,St. George's Mall,Hout Street,,./0.png
18.4209180867361,-33.9229340804877,"106",Pedestrian,Grand Parade,Greenmarket Square,Railway Station,./0.png
18.4210318620071,-33.9230349668552,"107",Pedestrian,Shortmarket Square,St. George's Mall,,./0.png
18.4205729591051,-33.9234852108992,"108",Pedestrian,St. George's Mall,Longmarket Street,,./0.png
18.4200982302429,-33.923940313686,"109",Pedestrian,St. George's Mall,Church Street,,./0.png
18.4196785849096,-33.9241291689139,"110",Interpretation,Xplore Cape Town,,,./0.png
18.4195084611716,-33.92448041796,"111",Pedestrian,Wale Street,St. George's Mall,,./0.png
